Date,Open,High,Low,Close,Volume
2024-05-15,131.02,131.31,130.29,131.21,23037290
2024-05-16,130.61,131.21,130.54,130.92,15258668
2024-05-17,132.62,132.86,132.13,132.5,24341382
2024-05-20,135.91,136.56,135.3,136.22,27984911
2024-05-21,136.28,136.62,135.55,135.69,22687700
2024-05-22,135.13,135.2,135.12,135.16,27522714
2024-05-23,139.03,139.79,138.35,139.09,19813653
2024-05-24,140.93,141.16,140.73,141.07,24154432
2024-05-27,139.93,139.94,139.9,139.93,26899241
2024-05-28,141.28,141.49,141.08,141.34,26137965
2024-05-29,140.17,140.6,139.64,140.21,15367209
2024-05-30,138.86,139.55,138.84,139.08,22365964
2024-05-31,140.26,140.56,139.48,139.73,35064777
2024-06-03,135.4,135.41,134.73,135.04,22045323
2024-06-04,131.34,132.23,129.83,130.95,25094845
2024-06-05,129.72,129.84,129.66,129.67,24479465
2024-06-06,126.94,127.71,126.43,127.37,34409438
2024-06-07,128.85,129.46,127.92,128.13,32742208
2024-06-10,125.7,126.37,124.93,126.09,29845185
2024-06-11,123.12,123.26,122.85,122.96,19160546
2024-06-12,126.56,126.75,125.97,126.29,27155098
2024-06-13,125.48,125.91,124.57,125.81,28407650
2024-06-14,125.57,126.65,124.34,126.0,20808370
2024-06-17,122.85,124.08,122.42,122.85,19776897
2024-06-18,121.68,121.74,121.65,121.69,35230084
2024-06-19,121.88,122.26,121.88,121.97,23195180
2024-06-20,119.85,120.15,119.21,119.5,34689860
2024-06-21,119.89,120.4,119.33,120.35,30982562
2024-06-24,117.96,119.55,117.73,119.09,27447260
2024-06-25,118.49,118.52,118.48,118.5,27715188
2024-06-26,117.77,117.92,116.06,117.26,16597482
2024-06-27,121.1,121.34,120.96,121.27,26240648
2024-06-28,121.31,121.35,121.27,121.28,33502122
2024-07-01,119.61,120.05,118.7,119.03,29088037
2024-07-02,120.98,121.04,120.65,120.84,25926020
2024-07-03,118.3,118.45,118.18,118.25,35271623
2024-07-04,118.43,119.01,118.04,118.73,23889755
2024-07-05,114.39,115.02,114.38,114.65,21282665
2024-07-08,111.61,112.71,111.37,111.97,25922991
2024-07-09,112.46,112.5,112.33,112.41,29598804
2024-07-10,114.25,114.95,113.12,113.94,14693235
2024-07-11,114.77,115.76,112.37,114.33,26709211
2024-07-12,113.59,114.58,113.23,114.13,29862070
2024-07-15,113.91,114.06,113.34,113.54,23382150
2024-07-16,110.5,110.63,110.42,110.6,31641788
2024-07-17,109.17,109.21,109.12,109.2,28847119
2024-07-18,108.38,108.41,107.58,108.34,37848298
2024-07-19,110.42,110.45,110.3,110.45,20496382
2024-07-22,111.17,111.24,111.15,111.17,29984259
2024-07-23,107.16,108.08,106.44,107.73,18896056
2024-07-24,108.26,108.39,108.21,108.39,15307801
2024-07-25,107.71,107.97,107.6,107.67,12786814
2024-07-26,106.52,106.62,106.09,106.4,28229944
2024-07-29,107.55,107.79,107.26,107.61,26105487
2024-07-30,109.43,110.18,109.38,109.66,22125693
2024-07-31,111.7,111.93,111.52,111.55,14358973
2024-08-01,109.84,110.33,109.62,109.91,20857680
2024-08-02,109.28,109.34,108.93,109.33,25024558
2024-08-05,109.38,112.0,109.17,110.02,29759016
2024-08-06,112.43,112.72,111.08,112.0,24900785
2024-08-07,110.98,111.13,110.94,111.07,26512362
2024-08-08,110.08,111.31,109.47,110.74,22743205
2024-08-09,108.75,108.89,108.35,108.58,35495345
2024-08-12,106.99,107.48,105.88,106.3,18890502
2024-08-13,107.29,108.03,106.9,107.9,20804570
2024-08-14,111.39,111.41,109.46,110.6,22045851
2024-08-15,110.33,110.65,110.23,110.49,28256226
2024-08-16,112.54,112.55,112.53,112.54,18766841
2024-08-19,113.88,115.06,112.68,113.31,25814311
2024-08-20,111.87,112.11,111.78,112.03,25989460
